,name,price,date
0,['Inn at the Sea'],99,2022-06-01
1,['Adrift Hotel'],134,2022-06-01
2,['Chautauqua Resort & Conference Center'],155,2022-06-01
3,['Boardwalk Cottages'],134,2022-06-01
4,['Coastal Inn and Suites'],94,2022-06-01
5,['Oceanview Inn at the Arch'],180,2022-06-01
6,['Inn at Discovery Coast'],200,2022-06-01
7,['Mermaid Inn'],117,2022-06-01
8,['Best Western Long Beach Inn'],230,2022-06-01
9,['The Breakers Long Beach'],199,2022-06-01
10,['Lighthouse Oceanfront Resort'],179,2022-06-01
11,['Shelburne Hotel'],134,2022-06-01
12,"[""Heidi's Inn""]",155,2022-06-01
13,['Col-Pacific Motel'],149,2022-06-01
14,['At The Helm Hotel'],286,2022-06-01
15,['Astoria Riverwalk Inn'],151,2022-06-01
16,"['Motel 6-Astoria, OR']",85,2022-06-01
17,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",265,2022-06-01
18,['Best Western Astoria Bayfront Hotel'],260,2022-06-01
19,['Atomic Motel'],89,2022-06-01
20,['Columbia Inn'],72,2022-06-01
21,['Bowline Hotel'],199,2022-06-01
22,['Astoria Rivershore Motel'],109,2022-06-01
23,['Inn at the Sea'],99,2022-06-02
24,['Adrift Hotel'],134,2022-06-02
25,['Chautauqua Resort & Conference Center'],155,2022-06-02
26,['Boardwalk Cottages'],134,2022-06-02
27,['Coastal Inn and Suites'],94,2022-06-02
28,['Inn at Discovery Coast'],195,2022-06-02
29,['Mermaid Inn'],117,2022-06-02
30,['Oceanview Inn at the Arch'],153,2022-06-02
31,['The Breakers Long Beach'],199,2022-06-02
32,['Best Western Long Beach Inn'],195,2022-06-02
33,['Lighthouse Oceanfront Resort'],179,2022-06-02
34,['Shelburne Hotel'],134,2022-06-02
35,"[""Heidi's Inn""]",155,2022-06-02
36,['At The Helm Hotel'],286,2022-06-02
37,['Col-Pacific Motel'],139,2022-06-02
38,['Astoria Riverwalk Inn'],151,2022-06-02
39,"['Motel 6-Astoria, OR']",85,2022-06-02
40,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",265,2022-06-02
41,['Best Western Astoria Bayfront Hotel'],229,2022-06-02
42,['Atomic Motel'],89,2022-06-02
43,['Bowline Hotel'],199,2022-06-02
44,['Astoria Rivershore Motel'],109,2022-06-02
45,['Adrift Hotel'],208,2022-06-03
46,['Chautauqua Resort & Conference Center'],195,2022-06-03
47,['Coastal Inn and Suites'],129,2022-06-03
48,['Boardwalk Cottages'],207,2022-06-03
49,['Best Western Long Beach Inn'],300,2022-06-03
50,['The Breakers Long Beach'],199,2022-06-03
51,['Inn at Discovery Coast'],320,2022-06-03
52,['Shelburne Hotel'],161,2022-06-03
53,"[""Heidi's Inn""]",185,2022-06-03
54,['Col-Pacific Motel'],159,2022-06-03
55,['At The Helm Hotel'],332,2022-06-03
56,"['Motel 6-Astoria, OR']",105,2022-06-03
57,['Best Western Astoria Bayfront Hotel'],385,2022-06-03
58,['Columbia Inn'],83,2022-06-03
59,['Atomic Motel'],134,2022-06-03
60,['Astoria Rivershore Motel'],139,2022-06-03
61,['Bowline Hotel'],349,2022-06-03
62,['Inn at the Sea'],169,2022-06-04
63,['Chautauqua Resort & Conference Center'],195,2022-06-04
64,['Adrift Hotel'],289,2022-06-04
65,['Boardwalk Cottages'],216,2022-06-04
66,['Coastal Inn and Suites'],169,2022-06-04
67,['The Breakers Long Beach'],199,2022-06-04
68,['Inn at Discovery Coast'],346,2022-06-04
69,['Shelburne Hotel'],179,2022-06-04
70,"[""Heidi's Inn""]",185,2022-06-04
71,['Col-Pacific Motel'],159,2022-06-04
72,['At The Helm Hotel'],332,2022-06-04
73,"['Motel 6-Astoria, OR']",105,2022-06-04
74,['Best Western Astoria Bayfront Hotel'],395,2022-06-04
75,['Atomic Motel'],170,2022-06-04
76,['Bowline Hotel'],369,2022-06-04
77,['Inn at the Sea'],94,2022-06-05
78,['Adrift Hotel'],161,2022-06-05
79,['Chautauqua Resort & Conference Center'],155,2022-06-05
80,['Oceanview Inn at the Arch'],153,2022-06-05
81,['Boardwalk Cottages'],143,2022-06-05
82,['Coastal Inn and Suites'],94,2022-06-05
83,['Mermaid Inn'],117,2022-06-05
84,['Inn at Discovery Coast'],240,2022-06-05
85,['The Breakers Long Beach'],199,2022-06-05
86,['Best Western Long Beach Inn'],195,2022-06-05
87,['Lighthouse Oceanfront Resort'],179,2022-06-05
88,['Shelburne Hotel'],143,2022-06-05
89,"[""Heidi's Inn""]",155,2022-06-05
90,['At The Helm Hotel'],286,2022-06-05
91,['Col-Pacific Motel'],149,2022-06-05
92,['Astoria Riverwalk Inn'],200,2022-06-05
93,"['Motel 6-Astoria, OR']",85,2022-06-05
94,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",246,2022-06-05
95,['Best Western Astoria Bayfront Hotel'],246,2022-06-05
96,['Atomic Motel'],89,2022-06-05
97,['Columbia Inn'],72,2022-06-05
98,['Astoria Rivershore Motel'],109,2022-06-05
99,['Bowline Hotel'],319,2022-06-05
100,['Inn at the Sea'],94,2022-06-06
101,['Oceanview Inn at the Arch'],180,2022-06-06
102,['Adrift Hotel'],161,2022-06-06
103,['Chautauqua Resort & Conference Center'],155,2022-06-06
104,['Boardwalk Cottages'],143,2022-06-06
105,['Coastal Inn and Suites'],94,2022-06-06
106,['Mermaid Inn'],117,2022-06-06
107,['Best Western Long Beach Inn'],230,2022-06-06
108,['Inn at Discovery Coast'],285,2022-06-06
109,['The Breakers Long Beach'],199,2022-06-06
110,['Lighthouse Oceanfront Resort'],179,2022-06-06
111,['Shelburne Hotel'],143,2022-06-06
112,"[""Heidi's Inn""]",155,2022-06-06
113,['Col-Pacific Motel'],149,2022-06-06
114,['At The Helm Hotel'],286,2022-06-06
115,['Astoria Riverwalk Inn'],218,2022-06-06
116,"['Motel 6-Astoria, OR']",85,2022-06-06
117,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",244,2022-06-06
118,['Best Western Astoria Bayfront Hotel'],280,2022-06-06
119,['Atomic Motel'],89,2022-06-06
120,['Columbia Inn'],72,2022-06-06
121,['Bowline Hotel'],279,2022-06-06
122,['Astoria Rivershore Motel'],109,2022-06-06
123,['Inn at the Sea'],94,2022-06-07
124,['Oceanview Inn at the Arch'],180,2022-06-07
125,['Adrift Hotel'],161,2022-06-07
126,['Chautauqua Resort & Conference Center'],165,2022-06-07
127,['Boardwalk Cottages'],143,2022-06-07
128,['Coastal Inn and Suites'],94,2022-06-07
129,['Inn at Discovery Coast'],205,2022-06-07
130,['Mermaid Inn'],117,2022-06-07
131,['Best Western Long Beach Inn'],230,2022-06-07
132,['The Breakers Long Beach'],199,2022-06-07
133,['Lighthouse Oceanfront Resort'],179,2022-06-07
134,['Shelburne Hotel'],143,2022-06-07
135,"[""Heidi's Inn""]",155,2022-06-07
136,['Col-Pacific Motel'],149,2022-06-07
137,['At The Helm Hotel'],286,2022-06-07
138,['Astoria Riverwalk Inn'],218,2022-06-07
139,"['Motel 6-Astoria, OR']",85,2022-06-07
140,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",273,2022-06-07
141,['Best Western Astoria Bayfront Hotel'],280,2022-06-07
142,['Atomic Motel'],89,2022-06-07
143,['Columbia Inn'],83,2022-06-07
144,['Bowline Hotel'],279,2022-06-07
145,['Astoria Rivershore Motel'],109,2022-06-07
146,['Inn at the Sea'],94,2022-06-08
147,['Oceanview Inn at the Arch'],180,2022-06-08
148,['Adrift Hotel'],161,2022-06-08
149,['Chautauqua Resort & Conference Center'],175,2022-06-08
150,['Boardwalk Cottages'],143,2022-06-08
151,['Coastal Inn and Suites'],94,2022-06-08
152,['Inn at Discovery Coast'],205,2022-06-08
153,['Mermaid Inn'],117,2022-06-08
154,['Best Western Long Beach Inn'],230,2022-06-08
155,['The Breakers Long Beach'],199,2022-06-08
